review,label
"Nếu_không đặt nặng thương_hiệu thì Mì-Xào không có đối_thủ với dòng smartphone cấu_hình mạnh giá rẻ . Tuy thương_hiệu TQ nhưng linh_kiện của máy cũng y_chang như các thương_hiệu chạy Android khác như Samsung chẳng_hạn , bởi_vậy nếu thích Android thì cứ chơi Mì_Xào , không cần_thiết phải bỏ ra số tiền cao để mua SS hay Sony ... vì cấu_hình cũng chẳng hơn . Còn thích độc_quyền thì i Phone cứ tiến tới .",1
Không đẹp bằng con Redmi_Pro chụp  ,-1
"chẳng_lẽ ông bán điện_thoại lại bảo con này không đáng mua : 3 8.5tr có quá nhiều lựa_chọn tốt hơn , thà bù tiền mua Priv hoặc mua Ip6 +99",0
) cái giá thế_này thì ... ... ... ... ... ... . .  ,0
Con này ngon . Đang dùng hãng xách tay 2 tháng nay . Pin 2 ngày vô_tư . Tuy_nhiên chưa biết cài CH_play ở đâu . Toàn phải dùng file apk khi tải,1
cũng bt  ,0
Hình_thức xấu như_thế thì ai mà mua cho bạn được ... quá xâ ́ u ngay từ cái nhìn đầu_tiên ...,-1
Thực_sự hy_vọng Iphone có thiết_kế đẹp hơn . Nếu đúng như này thì buồn quá,-1
"khoái HTC ở chỗ selfie không ảo diệu như SS nên hình lên nhìn chân_thật , mình đẹp tự_nhiên nên ghét ảo ảo 360 lắm heheheh , cộng thêm phần_mềm HTC làm rất tốt , xài mấy năm chưa reset lần nào mà máy chả có lag , chạy phà phà",1
Nhìn là đã thấy yêu rồi ! Phải mua một em ngay mới được !,1
- Vẫn còn Samsung vs các hãng khác mà bác : 3,0
﻿K hiểu sao tôi thấy xấu thật i_Phone_6 còn đẹp hơn,-1
Công_nhận là nó đù mỗi khoản pin . Giá_mà nó sống thoải_mái được 2 ngày làm_việc là cũng sung_sướng lắm rồi bác nhỉ ? Chờ AW_2 xem sao . Hi_vọng nhất khoản pin thôi,0
tính_năng bảo_mật của máy hay quá . không biết dung mạng ở VN thì_có ổn không ?  ,1
"Đồng_ý vs bạn , mình từ Zen2 qua SF1 . Mình khá hối_hận vì chuyển qua SF1 vì camera chụp ko đc đẹp , máy thỉnh_thoảng bị lag mặc_dù 3GB RAM ( ko chơi game nặng nha ) .",-1
minh cung mới lên cho iphone_5s đc 2 ngày thì dùng thất mượt hơn chua thật loi j,1
Tiền_nào_của_nấy thôi,0
Cái chức_năng moveless của con A6 này hình_như không hoạt_động ấy các bác ạ  ,-1
Rẻ cũng không chơi !,-1
Đơn_giản là vì nó rẽ thôi mà ...,0
màu hồng của samsung đẹp quá,1
Của TQ đó bạn . Mình k bao_giờ cài pm đó . Nếu đã cài rồi thì gỡ cũng rất khó . Mình đã gỡ cho vài người bạn . Bạn nên xài avast thì tốt hơn .,-1
thì như của dl 1 thôi mất 8gb nói_chung nếu ko phim_ảnh nhiều thì vẫn chấp_nhận được  ,0
